Date,DAX,FTSE
1992-03-11,-0.4067,-2.0351
1992-03-12,-0.9131,-1.1537
1992-03-13,0.3456,-0.6939
1992-03-16,-0.5002,-0.2141
1992-03-17,0.3055,0.8297
1992-03-18,0.122,-1.0637
1992-03-19,-0.4359,0.1177
1992-03-20,0.6767,-0.4458
1992-03-23,-1.0845,-0.635
1992-03-24,-0.2539,0.7251
1992-03-25,0.1839,0.2522
1992-03-26,0.1608,0.2962
1992-03-27,-0.4404,-0.9829
1992-03-30,-0.0666,0.2043
1992-03-31,0.4414,-0.5218
1992-04-01,-0.6147,-1.2909
1992-04-02,0.8411,-0.1329
1992-04-03,-0.1179,-0.9437
1992-04-06,0.8717,0.7638
1992-04-07,0.2767,0.1374
1992-04-08,-1.1159,-0.4575
1992-04-09,0.014,1.8051
1992-04-10,0.9196,5.5902
1992-04-13,-0.4798,0.7152
1992-04-14,0.2772,0.3667
1992-04-15,0.6499,1.5266
1992-04-16,0.312,-0.0606
1992-04-17,0.0,0.0
1992-04-20,0.0,0.0
1992-04-21,-0.1561,-0.4851
1992-04-22,0.3894,-0.6855
1992-04-23,-0.0491,0.0767
1992-04-24,-0.3846,1.2721
1992-04-27,-0.1993,0.5751
1992-04-28,-0.3605,-0.2709
1992-04-29,-0.0017,0.5243
1992-04-30,-0.1083,-0.4053
1992-05-01,0.0,0.2148
1992-05-04,-0.331,0.0
1992-05-05,0.2517,0.0902
1992-05-06,0.6268,1.371
1992-05-07,0.4193,0.1186
1992-05-08,-0.1502,0.8809
1992-05-11,0.2774,0.4439
1992-05-12,-0.1067,-0.5625
1992-05-13,-0.0994,-0.0698
1992-05-14,-0.4093,-0.9484
1992-05-15,-1.044,-0.449
1992-05-18,1.993,0.7828
1992-05-19,0.2747,-0.111
1992-05-20,1.3747,0.4184
1992-05-21,-0.113,-0.3651
1992-05-22,0.979,0.4811
1992-05-25,0.4775,0.0
1992-05-26,-0.271,-0.3831
1992-05-27,-0.698,-0.2218
1992-05-28,0.0,-0.163
1992-05-29,0.5111,0.4974
1992-06-01,-0.2817,-0.3693
1992-06-02,0.1807,0.3077
1992-06-03,-0.7111,-0.9239
1992-06-04,0.2085,0.0373
1992-06-05,-0.1808,-0.4996
1992-06-08,0.0,-0.8507
1992-06-09,-0.1571,-0.3931
1992-06-10,0.1959,0.0266
1992-06-11,-0.4442,-0.8346
1992-06-12,0.0258,-0.3978
1992-06-15,-0.4696,-0.3879
1992-06-16,0.2931,0.8752
1992-06-17,-0.4114,-0.6842
1992-06-18,0.0,-1.3739
1992-06-19,0.0626,0.8624
1992-06-22,-0.1269,-1.3347
1992-06-23,0.0282,0.4039
1992-06-24,-0.1496,-1.0935
1992-06-25,-0.2036,0.9753
1992-06-26,-0.6097,-0.9072
1992-06-29,0.1705,-0.7221
1992-06-30,-0.2555,0.2146
1992-07-01,0.2071,-1.0828
1992-07-02,0.7032,-0.7137
1992-07-03,0.4733,0.8481
1992-07-06,-0.26,-1.1253
1992-07-07,-0.2736,1.0004
1992-07-08,-0.9239,-0.8461
1992-07-09,0.3689,1.0232
1992-07-10,-0.1798,-0.2842
1992-07-13,-1.0248,-0.5018
1992-07-14,-0.1382,0.23
1992-07-15,0.03,0.0966
1992-07-16,0.3407,-0.1207
1992-07-17,-2.1758,-2.0738
1992-07-20,-3.1122,-1.1596
1992-07-21,0.6122,0.4951
1992-07-22,-1.9009,-1.1467
1992-07-23,-0.2979,0.4858
1992-07-24,-0.7977,-0.9294
1992-07-27,0.4763,-1.2283
1992-07-28,-0.4604,1.0818
1992-07-29,1.0871,2.0983
1992-07-30,-0.2555,-0.4787
1992-07-31,-0.5277,-0.4976
1992-08-03,-1.282,0.8585
1992-08-04,1.0535,-0.5248
1992-08-05,1.0735,-0.6106
1992-08-06,-0.4703,-0.6352
1992-08-07,-0.7186,-1.1566
1992-08-10,-1.6744,-1.0383
1992-08-11,-1.1342,-0.6923
1992-08-12,-0.7408,-0.2814
1992-08-13,-0.7746,0.647
1992-08-14,0.4426,1.6739
1992-08-17,0.4923,0.8189
1992-08-18,-1.4273,-0.9006
1992-08-19,-0.5544,0.3737
1992-08-20,-0.7647,-0.1735
1992-08-21,0.46,0.267
1992-08-24,-1.4,-2.308
1992-08-25,-1.9903,-1.3024
1992-08-26,0.2975,0.1754
1992-08-27,2.7245,1.1641
1992-08-28,0.2015,0.0433
1992-08-31,1.6341,0.0
1992-09-01,-1.4631,-0.614
1992-09-02,-0.7921,0.6352
1992-09-03,1.5982,2.9788
1992-09-04,0.3756,-0.8271
1992-09-07,0.2688,0.4233
1992-09-08,0.2544,-1.4543
1992-09-09,-1.2489,-0.4363
1992-09-10,0.2236,0.5628
1992-09-11,-0.0569,1.2945
1992-09-14,4.4011,2.1595
1992-09-15,-0.4696,-2.151
1992-09-16,-0.1883,0.3502
1992-09-17,-0.3717,4.4401
1992-09-18,0.6753,3.3455
