y,slope(-1),Rme(-1),rec(-1),c
0.0,2.78278,0.0289,0.0,1.0
0.0,2.57628,0.0031,0.0,1.0
0.0,2.47494,-0.0034,0.0,1.0
0.0,2.37216,0.0371,0.0,1.0
0.0,2.14952,-0.0012,0.0,1.0
0.0,2.06058,0.0141,0.0,1.0
0.0,2.28903,-0.0189,0.0,1.0
0.0,2.36656,0.0165,0.0,1.0
0.0,2.42829,0.0287,0.0,1.0
0.0,2.35379,-0.0255,0.0,1.0
0.0,2.48072,-0.0478,0.0,1.0
0.0,2.62677,0.0068,0.0,1.0
0.0,2.30729,0.0058,0.0,1.0
0.0,2.2832,-0.0303,0.0,1.0
0.0,2.26742,0.0282,0.0,1.0
0.0,2.0799,0.0401,0.0,1.0
0.0,2.12283,-0.0231,0.0,1.0
0.0,2.02843,0.0134,0.0,1.0
0.0,1.89777,-0.0404,0.0,1.0
0.0,1.26131,0.0086,0.0,1.0
0.0,1.23348,0.018,0.0,1.0
0.0,1.12824,0.0363,0.0,1.0
0.0,1.01881,0.0219,0.0,1.0
0.0,1.0099,0.0211,0.0,1.0
0.0,0.7089,0.029,0.0,1.0
0.0,0.53008,0.0272,0.0,1.0
0.0,0.68432,0.0372,0.0,1.0
0.0,0.84117,0.0055,0.0,1.0
0.0,0.67997,0.0335,0.0,1.0
0.0,0.50892,-0.0152,0.0,1.0
0.0,0.45581,0.0396,0.0,1.0
0.0,0.38975,0.0103,0.0,1.0
0.0,0.54565,0.0226,0.0,1.0
0.0,0.84882,0.0133,0.0,1.0
0.0,1.09028,0.0073,0.0,1.0
0.0,1.21459,0.0206,0.0,1.0
0.0,1.36953,0.0236,0.0,1.0
0.0,1.39696,-0.0114,0.0,1.0
0.0,1.30887,-0.0597,0.0,1.0
0.0,1.26567,0.0277,0.0,1.0
0.0,1.33224,0.0501,0.0,1.0
0.0,1.18272,0.0086,0.0,1.0
0.0,0.91299,0.0625,0.0,1.0
0.0,1.03749,-0.017,0.0,1.0
0.0,1.23978,0.0499,0.0,1.0
0.0,1.13006,-0.0049,0.0,1.0
0.0,1.18083,-0.0503,0.0,1.0
0.0,1.25664,0.0404,0.0,1.0
0.0,1.15904,0.0674,0.0,1.0
0.0,1.12491,0.041,0.0,1.0
0.0,0.88117,0.0733,0.0,1.0
0.0,0.88555,-0.0415,0.0,1.0
0.0,0.90215,0.0535,0.0,1.0
0.0,0.73253,-0.038,0.0,1.0
0.0,0.50992,0.0298,0.0,1.0
0.0,0.37286,0.0132,0.0,1.0
0.0,0.33009,0.0015,0.0,1.0
0.0,0.318,0.0704,0.0,1.0
0.0,0.42413,0.0476,0.0,1.0
0.0,0.39441,0.0073,0.0,1.0
0.0,0.32285,-0.0307,0.0,1.0
0.0,0.20103,0.0318,0.0,1.0
0.0,0.25426,-0.0246,0.0,1.0
0.0,0.22142,-0.1608,0.0,1.0
0.0,0.0409,0.0615,0.0,1.0
0.0,0.35975,0.0713,0.0,1.0
0.0,0.27238,0.061,0.0,1.0
0.0,0.12075,0.0616,0.0,1.0
0.0,0.25839,0.035,0.0,1.0
0.0,0.41419,-0.0408,0.0,1.0
0.0,0.60266,0.0345,0.0,1.0
0.0,0.65625,0.0433,0.0,1.0
0.0,0.80579,-0.0246,0.0,1.0
0.0,0.88323,0.0477,0.0,1.0
0.0,1.02216,-0.0349,0.0,1.0
0.0,0.87038,-0.0138,0.0,1.0
0.0,0.84138,-0.0279,0.0,1.0
0.0,0.91935,0.0612,0.0,1.0
0.0,0.62109,0.0337,0.0,1.0
0.0,0.61336,0.0772,0.0,1.0
0.0,0.90944,-0.0474,0.0,1.0
0.0,0.55497,0.0245,0.0,1.0
0.0,0.17867,0.052,0.0,1.0
0.0,-0.03515,-0.064,0.0,1.0
0.0,0.09414,-0.0442,0.0,1.0
0.0,-0.09381,0.0464,0.0,1.0
0.0,-0.17141,-0.0251,0.0,1.0
0.0,-0.45014,0.0703,0.0,1.0
0.0,-0.38712,-0.0545,0.0,1.0
0.0,-0.50476,-0.0276,0.0,1.0
0.0,-0.54398,-0.1072,0.0,1.0
0.0,-0.61339,0.0119,0.0,1.0
0.0,0.0504,0.0313,0.0,1.0
0.0,0.23626,-0.1005,0.0,1.0
1.0,0.47114,-0.0726,0.0,1.0
1.0,1.14361,0.0794,1.0,1.0
1.0,1.61328,0.0072,1.0,1.0
1.0,1.68036,-0.0194,1.0,1.0
1.0,1.64236,-0.0213,1.0,1.0
1.0,1.54684,-0.0646,1.0,1.0
1.0,1.98286,-0.0925,1.0,1.0
1.0,2.34301,0.0246,1.0,1.0
0.0,2.66069,0.0754,1.0,1.0
0.0,3.18072,0.016,0.0,1.0
0.0,3.18335,-0.0144,0.0,1.0
0.0,2.96911,-0.0229,0.0,1.0
0.0,3.14031,0.0424,0.0,1.0
0.0,3.15419,-0.052,0.0,1.0
0.0,3.16694,-0.0138,0.0,1.0
0.0,3.01831,-0.0721,0.0,1.0
0.0,2.85155,-0.0818,0.0,1.0
0.0,2.56855,0.005,0.0,1.0
0.0,2.19378,-0.1035,0.0,1.0
0.0,2.30131,0.0784,0.0,1.0
0.0,2.69812,0.0596,0.0,1.0
0.0,2.70899,-0.0576,0.0,1.0
0.0,2.76833,-0.0257,0.0,1.0
0.0,2.64413,-0.0188,0.0,1.0
0.0,2.60761,0.0109,0.0,1.0
0.0,2.74197,0.0822,0.0,1.0
0.0,2.42629,0.0605,0.0,1.0
0.0,2.3547,0.0142,0.0,1.0
0.0,2.95171,0.0235,0.0,1.0
0.0,3.3225,0.0234,0.0,1.0
0.0,3.17007,-0.0124,0.0,1.0
0.0,3.19928,0.0608,0.0,1.0
0.0,3.18881,0.0135,0.0,1.0
0.0,3.19012,0.0429,0.0,1.0
0.0,3.09502,0.0215,0.0,1.0
0.0,3.00774,0.014,0.0,1.0
0.0,2.76725,-0.0132,0.0,1.0
0.0,3.16656,-0.0183,0.0,1.0
0.0,3.29984,0.0117,0.0,1.0
0.0,3.01833,0.0186,0.0,1.0
0.0,2.73823,-0.0406,0.0,1.0
0.0,2.46723,0.0008,0.0,1.0
0.0,2.17261,0.016,0.0,1.0
0.0,2.01316,0.0143,0.0,1.0
0.0,1.82813,0.0454,0.0,1.0
0.0,1.70557,0.0343,0.0,1.0
0.0,1.51483,-0.0276,0.0,1.0
0.0,1.30576,0.0189,0.0,1.0
0.0,1.39038,-0.0197,0.0,1.0
0.0,1.18677,-0.0261,0.0,1.0
0.0,0.96468,0.0365,0.0,1.0
0.0,0.77976,0.0057,0.0,1.0
0.0,0.66029,0.0392,0.0,1.0
0.0,0.49491,-0.0122,0.0,1.0
0.0,0.42725,0.0049,0.0,1.0
0.0,0.35337,-0.0202,0.0,1.0
0.0,0.26828,0.0361,0.0,1.0
0.0,0.17098,-0.0025,0.0,1.0
0.0,-0.00828,0.0304,0.0,1.0
0.0,-0.07708,-0.003,0.0,1.0
0.0,-0.03489,0.0146,0.0,1.0
0.0,0.12142,0.0073,0.0,1.0
0.0,0.13445,-0.0357,0.0,1.0
0.0,-0.01741,-0.0035,0.0,1.0
0.0,-0.12758,-0.0078,0.0,1.0
0.0,-0.23647,0.0203,0.0,1.0
0.0,-0.30814,0.0184,0.0,1.0
0.0,-0.32897,0.0323,0.0,1.0
0.0,-0.48355,0.0171,0.0,1.0
0.0,-0.45092,0.0087,0.0,1.0
0.0,-0.3307,0.014,0.0,1.0
0.0,-0.37902,-0.0196,0.0,1.0
0.0,-0.46105,0.0068,0.0,1.0
0.0,-0.30642,0.0349,0.0,1.0
0.0,-0.16815,0.0324,0.0,1.0
0.0,0.18566,-0.0196,0.0,1.0
0.0,0.01962,-0.0373,0.0,1.0
0.0,0.16008,0.0092,0.0,1.0
0.0,0.35018,0.0322,0.0,1.0
0.0,0.40016,0.018,0.0,1.0
0.0,0.59115,-0.0483,0.0,1.0
1.0,0.77507,-0.0087,0.0,1.0
1.0,0.91226,-0.0636,1.0,1.0
1.0,1.62654,-0.0309,1.0,1.0
1.0,1.96706,-0.0093,1.0,1.0
1.0,2.06089,0.046,1.0,1.0
1.0,1.98247,0.0186,1.0,1.0
1.0,1.88249,-0.0844,1.0,1.0
1.0,1.99702,-0.0077,1.0,1.0
1.0,1.89162,0.0153,1.0,1.0
1.0,2.0103,-0.0924,1.0,1.0
1.0,2.53741,-0.1723,1.0,1.0
1.0,2.73846,-0.0786,1.0,1.0
1.0,2.1311,0.0174,1.0,1.0
1.0,2.18866,-0.0812,1.0,1.0
1.0,2.37933,-0.101,1.0,1.0
1.0,2.36075,0.0895,1.0,1.0
1.0,2.53774,0.1018,1.0,1.0
1.0,2.93693,0.0521,1.0,1.0
0.0,3.34236,0.0043,1.0,1.0
0.0,3.22801,0.0772,0.0,1.0
0.0,3.26698,0.0333,0.0,1.0
0.0,3.13342,0.0408,0.0,1.0
0.0,3.17377,-0.0259,0.0,1.0
0.0,3.19345,0.0556,0.0,1.0
0.0,3.35703,0.0275,0.0,1.0
0.0,3.51209,-0.0336,0.0,1.0
0.0,3.44351,0.034,0.0,1.0
0.0,3.44206,0.0631,0.0,1.0
0.0,3.53766,0.02,0.0,1.0
0.0,3.14276,-0.0789,0.0,1.0
0.0,2.95982,-0.0557,0.0,1.0
0.0,2.76554,0.0693,0.0,1.0
0.0,2.47415,-0.0477,0.0,1.0
0.0,2.42545,0.0954,0.0,1.0
0.0,2.32824,0.0388,0.0,1.0
0.0,2.54256,0.006,0.0,1.0
0.0,3.04699,0.0682,0.0,1.0
0.0,3.15377,0.0199,0.0,1.0
0.0,3.34737,0.0349,0.0,1.0
0.0,3.19312,0.0046,0.0,1.0
0.0,3.28147,0.029,0.0,1.0
0.0,3.03078,-0.0127,0.0,1.0
0.0,2.85587,-0.0175,0.0,1.0
0.0,2.87587,-0.0235,0.0,1.0
0.0,2.21394,-0.0599,0.0,1.0
0.0,1.92065,-0.0759,0.0,1.0
0.0,2.07721,0.1135,0.0,1.0
0.0,1.94006,-0.0028,0.0,1.0
0.0,1.91065,0.0074,0.0,1.0
0.0,1.88084,0.0505,0.0,1.0
0.0,1.83083,0.0442,0.0,1.0
0.0,2.00677,0.0311,0.0,1.0
0.0,1.88925,-0.0085,0.0,1.0
0.0,1.63396,-0.0619,0.0,1.0
0.0,1.45699,0.0389,0.0,1.0
0.0,1.36839,0.0079,0.0,1.0
0.0,1.52602,0.0255,0.0,1.0
0.0,1.56535,0.0273,0.0,1.0
0.0,1.58484,-0.0176,0.0,1.0
0.0,1.49651,0.0078,0.0,1.0
0.0,1.58536,0.0118,0.0,1.0
0.0,1.78197,0.0557,0.0,1.0
0.0,1.84063,0.0129,0.0,1.0
0.0,1.83102,0.0403,0.0,1.0
0.0,1.65468,0.0155,0.0,1.0
0.0,1.8316,0.028,0.0,1.0
0.0,2.18394,-0.012,0.0,1.0
0.0,2.47727,0.0565,0.0,1.0
0.0,2.63313,-0.0271,0.0,1.0
0.0,2.73124,0.0377,0.0,1.0
0.0,2.50626,0.0418,0.0,1.0
0.0,2.58365,0.0313,0.0,1.0
0.0,2.75873,0.0281,0.0,1.0
0.0,2.74986,-0.0332,0.0,1.0
0.0,2.59392,0.0465,0.0,1.0
0.0,2.60366,0.0043,0.0,1.0
0.0,2.62393,-0.0019,0.0,1.0
0.0,2.47778,0.0206,0.0,1.0
0.0,2.50677,0.0261,0.0,1.0
0.0,2.44827,-0.0204,0.0,1.0
0.0,2.34118,0.0424,0.0,1.0
0.0,2.45852,-0.0197,0.0,1.0
0.0,2.22395,0.0252,0.0,1.0
0.0,2.23326,0.0255,0.0,1.0
0.0,2.07592,-0.0006,0.0,1.0
0.0,1.78254,-0.0311,0.0,1.0
0.0,1.89065,0.0613,0.0,1.0
0.0,1.90946,-0.0112,0.0,1.0
0.0,1.83141,0.0059,0.0,1.0
0.0,2.09614,0.0136,0.0,1.0
0.0,2.24257,-0.0153,0.0,1.0
0.0,2.17348,0.0154,0.0,1.0
0.0,1.92673,-0.0604,0.0,1.0
0.0,1.96675,-0.0307,0.0,1.0
0.0,1.93885,0.0775,0.0,1.0
0.0,1.91471,0.0057,0.0,1.0
0.0,1.72498,-0.0217,0.0,1.0
0.0,1.63823,-0.0577,0.0,1.0
0.0,1.3241,-0.0007,0.0,1.0
0.0,1.4121,0.0696,0.0,1.0
0.0,1.42364,0.0091,0.0,1.0
0.0,1.3836,0.0178,0.0,1.0
0.0,1.2265,-0.0005,0.0,1.0
0.0,1.09867,0.0395,0.0,1.0
0.0,1.10771,0.0049,0.0,1.0
0.0,1.15659,0.0025,0.0,1.0
0.0,1.27442,-0.0202,0.0,1.0
0.0,1.54702,0.0486,0.0,1.0
0.0,1.82901,0.0182,0.0,1.0
0.0,1.79048,0.0194,0.0,1.0
0.0,1.75067,0.0357,0.0,1.0
0.0,1.5788,0.0017,0.0,1.0
0.0,1.34287,0.0109,0.0,1.0
0.0,1.25265,0.0106,0.0,1.0
0.0,1.07488,0.0078,0.0,1.0
0.0,1.18195,0.0187,0.0,1.0
0.0,1.07439,0.0016,0.0,1.0
0.0,1.02449,0.0251,0.0,1.0
0.0,1.10069,0.0225,0.0,1.0
0.0,0.9605,0.0312,0.0,1.0
0.0,0.89894,0.0106,0.0,1.0
0.0,0.95411,0.0557,0.0,1.0
0.0,1.06603,-0.0365,0.0,1.0
0.0,0.92603,-0.0235,0.0,1.0
