Date,ln std,ln std(-1),ln std(-2),ln VIX(-1),ln VIX(-2),R(-1),R(-2)
2005-06-14,2.04064,2.72878,2.25578,2.78006,2.4248,-2.39106,-1.77713
2005-07-15,2.18581,2.04064,2.72878,2.46725,2.78006,3.84264,-2.39106
2005-08-16,2.22723,2.18581,2.04064,2.33505,2.46725,1.99434,3.84264
2005-09-16,2.13336,2.22723,2.18581,2.60417,2.33505,-0.69874,1.99434
2005-10-18,2.25043,2.13336,2.22723,2.4177,2.60417,1.52296,-0.69874
2005-11-17,2.53747,2.25043,2.13336,2.72981,2.4177,-4.8283,1.52296
2005-12-20,2.00007,2.53747,2.25043,2.42037,2.72981,5.48831,-4.8283
2006-01-24,2.36592,2.00007,2.53747,2.41502,2.42037,1.3534,5.48831
2006-02-24,2.15133,2.36592,2.00007,2.58852,2.41502,0.57478,1.3534
2006-03-28,2.10462,2.15133,2.36592,2.43886,2.58852,1.78157,0.57478
2006-04-28,2.16242,2.10462,2.15133,2.44928,2.43886,0.2947,1.78157
2006-05-31,2.50479,2.16242,2.10462,2.45014,2.44928,1.34392,0.2947
2006-06-30,2.74153,2.50479,2.16242,2.79972,2.45014,-3.09169,1.34392
2006-08-02,2.57125,2.74153,2.50479,2.57108,2.79972,0.00866,-3.09169
2006-09-01,1.93366,2.57125,2.74153,2.66305,2.57108,0.56763,0.00866
2006-10-04,2.12242,1.93366,2.57125,2.48157,2.66305,2.63032,0.56763
2006-11-03,1.83531,2.12242,1.93366,2.47317,2.48157,2.9893,2.63032
2006-12-06,2.09764,1.83531,2.12242,2.41234,2.47317,1.04429,2.9893
2007-01-10,1.77153,2.09764,1.83531,2.42745,2.41234,3.56227,1.04429
2007-02-12,2.01441,1.77153,2.09764,2.43973,2.42745,0.13801,3.56227
2007-03-15,2.79717,2.01441,1.77153,2.45187,2.43973,1.30897,0.13801
2007-04-17,2.23703,2.79717,2.01441,2.79911,2.45187,-2.86667,1.30897
2007-05-17,2.17815,2.23703,2.79717,2.49651,2.79911,5.68851,-2.86667
2007-06-19,2.46459,2.17815,2.23703,2.60343,2.49651,2.80466,5.68851
2007-07-20,2.54479,2.46459,2.17815,2.55334,2.60343,1.3849,2.80466
2007-08-21,3.17291,2.54479,2.46459,2.83027,2.55334,0.02608,1.3849
2007-09-21,2.9474,3.17291,2.54479,3.22883,2.83027,-5.66977,0.02608
2007-10-23,2.52695,2.9474,3.17291,2.94444,3.22883,5.43355,-5.66977
2007-11-23,3.09691,2.52695,2.9474,3.01602,2.94444,-0.40374,5.43355
2007-12-26,3.019,3.09691,2.52695,3.24298,3.01602,-5.19153,-0.40374
2008-01-29,3.11054,3.019,3.09691,2.92638,3.24298,3.95363,-5.19153
2008-02-29,2.99803,3.11054,3.019,3.30762,2.92638,-9.0381,3.95363
2008-04-02,3.38363,2.99803,3.11054,3.27865,3.30762,-2.32474,-9.0381
2008-05-02,2.68138,3.38363,2.99803,3.15402,3.27865,2.77312,-2.32474
2008-06-04,2.55649,2.68138,3.38363,2.90032,3.15402,3.39078,2.77312
2008-07-07,2.96807,2.55649,2.68138,3.03495,2.90032,-2.59566,3.39078
2008-08-06,3.17024,2.96807,2.55649,3.2496,3.03495,-9.0684,-2.59566
2008-09-08,3.04412,3.17024,2.96807,3.00717,3.2496,2.94496,-9.0684
2008-10-08,4.01069,3.04412,3.17024,3.11972,3.00717,-1.65996,2.94496
2008-11-07,4.41035,4.01069,3.04412,4.05231,3.11972,-22.31048,-1.65996
2008-12-10,4.25131,4.41035,4.01069,4.02714,4.05231,-5.47749,-22.31048
2009-01-13,3.43701,4.25131,4.41035,4.02052,4.02714,-3.41035,-5.47749
2009-02-13,3.64492,3.43701,4.25131,3.76746,4.02052,-3.05258,-3.41035
2009-03-18,3.81526,3.64492,3.43701,3.75957,3.76746,-5.15606,-3.05258
